,City,NumofHotels
324,Hesperia,1
325,Hill City,2
326,Hillsboro,1
327,Hobart,1
328,Holland,1
329,Honolulu,1
330,Hope,1
331,Hopkinsville,1
332,Hot Springs National Park,1
333,Houston,8
334,Howe,1
335,Humeston,2
336,Huntersville,1
337,Huntingdon,1
338,Huntsville,1
339,Idaho Falls,1
340,Incline Village,1
341,Indian Rocks Beach,1
342,Indiana,1
343,Indianapolis,3
344,Inglewood,1
345,Interior,1
346,Irmo,1
347,Iron Mountain,1
348,Ironwood,1
349,Irvine,1
350,Irving,3
351,Ithaca,1
352,Jackman,1
353,Jackson,4
354,Jacksonville,2
355,Jamestown,1
356,Jasper,1
357,Jefferson,1
358,Jeffersonville,1
359,Jellico,2
360,Jennerstown,1
361,Johnson City,1
362,Joplin,1
363,Joshua Tree,1
364,Junction,1
365,Juneau,1
366,Jupiter,1
367,Kailua Kona,1
368,Kalispell,1
369,Kankakee,1
370,Kansas City,2
371,Kapaa,1
372,Kearney,1
373,Kenedy,1
374,Kennebunkport,1
375,Kenosha,1
376,Key West,2
377,Keyser,1
378,Kihei,1
379,Kingsport,1
380,Kingston,1
381,Kiowa,2
382,Knoxville,2
383,Kuttawa,1
384,Laconia,1
385,Lagrange,1
386,Lake Elmo,1
387,Lake Forest,1
388,Lake Lure,1
389,Lake Ozark,1
390,Lake Worth,1
391,Lamar,1
392,Lancaster,2
393,Langhorne,1
394,Lanham,1
395,Laramie,1
396,Larkspur,1
397,Las Vegas,2
398,Laughlin,1
399,Laurel,1
400,Lavonia,1
401,Lawrence,1
402,Lead,1
403,Leavenworth,1
404,Lebanon,2
405,Lees Summit,1
406,Leesburg,1
407,Leesville,1
408,Lenoir City,1
409,Lexington,1
410,Licking,1
411,Lincoln,1
412,Lincoln City,1
413,Lincolnton,1
414,Lithia Springs,1
415,Little River,2
416,Livermore,2
417,London,1
418,Long Beach,1
419,Long Eddy,1
420,Longmont,1
421,Longville,1
422,Los Angeles,1
423,Los Olivos,1
424,Lovelock,1
425,Lubbock,1
426,Lumberton,1
427,Lynnwood,1
428,Mableton,1
429,Macon,2
430,Madison,2
431,Madisonville,1
432,Mahanoy City,1
433,Mammoth Lakes,1
434,Manassas,2
435,Manchester,1
436,Manhattan,1
437,Manistique,1
438,Mansfield,1
439,Marathon,1
440,Marina,3
441,Marina Del Rey,1
442,Marion,1
443,Mariposa,1
444,Maumee,1
445,Max Meadows,1
446,Mccall,1
447,Medina,1
448,Memphis,5
449,Mendenhall,1
450,Mercer,1
451,Meridian,1
452,Merrillville,1
453,Mesa,1
454,Metropolis,2
455,Miami,2
456,Miami Beach,1
457,Midvale,1
458,Midway,1
